Datum;Eröffnungskurs;Höchstkurs;Niedrigstkurs;Schlusskurs;Umsatz
02.01.14;15,45 €;15,48 €;15,15 €;15,17 €;2951700
03.01.14;15,18 €;15,44 €;15,09 €;15,41 €;2245000
06.01.14;15,21 €;15,40 €;15,05 €;15,26 €;2748500
07.01.14;15,24 €;15,64 €;15,18 €;15,60 €;2787000
08.01.14;15,63 €;16,11 €;15,60 €;15,97 €;4808600
09.01.14;15,99 €;16,06 €;15,76 €;15,94 €;4465200
10.01.14;16,60 €;17,35 €;16,55 €;17,35 €;14882800
13.01.14;17,12 €;17,62 €;17,07 €;17,60 €;5242500
14.01.14;17,45 €;17,79 €;17,35 €;17,75 €;4254700
15.01.14;18,00 €;18,73 €;17,94 €;18,54 €;7875600
16.01.14;18,50 €;18,58 €;18,19 €;18,41 €;3940400
17.01.14;18,27 €;18,42 €;18,01 €;18,25 €;5156900
20.01.14;18,20 €;18,30 €;18,07 €;18,18 €;2236300
21.01.14;18,26 €;18,44 €;18,17 €;18,23 €;3020100
22.01.14;18,23 €;18,38 €;18,19 €;18,34 €;2654800
23.01.14;18,27 €;18,44 €;18,06 €;18,08 €;2868500
24.01.14;18,08 €;18,14 €;17,42 €;17,45 €;5248500
27.01.14;17,41 €;17,75 €;17,25 €;17,73 €;3697700
28.01.14;17,83 €;17,94 €;17,52 €;17,80 €;3135400
29.01.14;17,96 €;18,01 €;17,32 €;17,52 €;3040000
30.01.14;17,50 €;17,60 €;17,37 €;17,56 €;2363100
31.01.14;17,52 €;17,69 €;17,27 €;17,67 €;2964100
03.02.14;17,67 €;17,85 €;17,20 €;17,22 €;2976000
04.02.14;17,02 €;17,18 €;16,81 €;17,10 €;2891000
05.02.14;17,12 €;17,33 €;16,99 €;17,21 €;2381900
06.02.14;17,25 €;17,50 €;17,08 €;17,41 €;3140400
07.02.14;17,50 €;17,84 €;17,47 €;17,62 €;3125800
10.02.14;17,79 €;17,79 €;17,53 €;17,64 €;1888900
11.02.14;17,82 €;18,02 €;17,67 €;18,01 €;2203400
12.02.14;18,07 €;18,26 €;17,97 €;18,12 €;2425600
13.02.14;18,00 €;18,12 €;17,76 €;18,09 €;2007300
14.02.14;18,16 €;18,30 €;18,05 €;18,11 €;1680800
17.02.14;18,10 €;18,33 €;18,05 €;18,31 €;1510800
18.02.14;18,40 €;18,57 €;18,30 €;18,55 €;2414300
19.02.14;18,38 €;18,50 €;18,24 €;18,47 €;2120800
20.02.14;18,21 €;18,41 €;18,12 €;18,36 €;1917000
21.02.14;18,42 €;18,50 €;18,19 €;18,38 €;1837300
24.02.14;18,30 €;18,78 €;18,30 €;18,77 €;2367100
25.02.14;18,81 €;19,04 €;18,81 €;19,00 €;3169800
26.02.14;19,06 €;19,07 €;18,91 €;19,03 €;1975600
27.02.14;18,96 €;19,12 €;18,73 €;18,96 €;2242200
28.02.14;18,94 €;18,96 €;18,62 €;18,79 €;2440400
03.03.14;18,45 €;18,45 €;18,07 €;18,07 €;4202200
04.03.14;18,08 €;18,47 €;17,90 €;18,43 €;3339700
05.03.14;18,41 €;18,77 €;18,38 €;18,66 €;2019900
06.03.14;18,70 €;18,86 €;18,28 €;18,30 €;4974500
07.03.14;18,25 €;18,58 €;18,00 €;18,01 €;2922400
10.03.14;17,88 €;18,24 €;17,79 €;17,94 €;2384600
11.03.14;18,10 €;18,33 €;17,93 €;18,25 €;2240500
12.03.14;18,16 €;18,19 €;17,77 €;17,92 €;2828900
13.03.14;18,99 €;19,32 €;18,55 €;18,60 €;8060100
14.03.14;18,49 €;18,88 €;18,36 €;18,88 €;4991500
17.03.14;18,93 €;19,11 €;18,82 €;18,97 €;3803300
18.03.14;18,98 €;19,17 €;18,73 €;19,01 €;3927300
19.03.14;19,04 €;19,69 €;18,84 €;19,64 €;4543100
20.03.14;19,41 €;19,57 €;19,18 €;19,53 €;3587500
21.03.14;19,58 €;19,80 €;19,25 €;19,32 €;5801700
24.03.14;19,22 €;19,22 €;18,72 €;18,74 €;3869300
25.03.14;18,80 €;19,01 €;18,80 €;18,92 €;2675600
26.03.14;19,07 €;19,12 €;18,86 €;18,92 €;2602600
27.03.14;18,89 €;18,94 €;18,65 €;18,73 €;3260900
28.03.14;18,82 €;19,19 €;18,81 €;19,06 €;3357200
31.03.14;19,13 €;19,13 €;18,91 €;19,01 €;2632000
